product_id;price;product;brand;unit_price;units;categories;discount;date
260899;4.54;SELECCIÓN DE DIA filetes de cabeza de lomo de cerdo (peso aprox. 650 gr);SELECCIÓN DE DIA;6.99;€/Kg.;['Frescos', 'Carne', 'Cerdo'];;2023-03-26
189955;2.6;MONTEY cocktail de frutas en almíbar lata 480 gr;MONTEY;5.42;€/Kg.;['Despensa', 'Desayunos y dulces', 'Mermeladas. miel y frutas en almíbar'];;2023-03-26
189831;1.46;LUENGO garbanzos con verduras cocidas frasco 400 gr;LUENGO;3.65;€/Kg.;['Despensa', 'Arroz y legumbres', 'Legumbres'];;2023-03-26
209612;1.99;DIA ambientador colgador para coche colonia infantil blíster 1 ud;DIA;1.99;€/ud.;['Cuidado del hogar', 'Ambientadores'];;2023-03-26
259020;0.79;SAN MIGUEL cerveza magna lata 33 cl;SAN MIGUEL;2.39;€/l.;['Bebidas', 'Cervezas', 'Especiales'];;2023-03-26
17384;3.19;DIA MARI MARINERA filete de merluza argentina sin piel bolsa 400 gr;DIA MARI MARINERA;7.98;€/Kg.;['Congelados', 'Pescado y marisco'];;2023-03-26
187992;1.77;CARMENCITA cayena guindillas frasco 16 gr;CARMENCITA;110.63;€/Kg.;['Despensa', 'Sal y especias'];;2023-03-26
265078;1.05;DIA VEGECAMPO ensaladilla bolsa 1 kg;DIA VEGECAMPO;1.05;€/Kg.;['Congelados', 'Verduras y hortalizas'];;2023-03-26
271797;3.49;SERPIS aceitunas rellenas de anchoa pack 3 latas 120 gr;SERPIS;29.08;€/Kg.;['Despensa', 'Aperitivos'];;2023-03-26
198130;3.19;NB PALMOLIVE gel de ducha hidratante bote 550 ml;NB PALMOLIVE;4.91;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Geles de duchas y esponjas'];;2023-03-26
256378;1.89;PROCELI baguette rústica SIN GLUTEN 120 gr;PROCELI;15.75;€/Kg.;['Despensa', 'Pan', 'Pan de horno'];;2023-03-26
269527;2.37;HERO snacks de zanahoria y maíz bolsa 40 gr;HERO;59.25;€/Kg.;['Bebé', 'Bebidas. galletas y yogures'];;2023-03-26
272833;1.54;DIA VEGECAMPO verduras para microondas 3 ingredientes bolsa 300 gr;DIA VEGECAMPO;5.13;€/Kg.;['Frescos', 'Verduras y hortalizas', 'Verduras y ensaladas preparadas'];;2023-03-26
287737;2.89;CUCA mejillones en salsa gallega lata 50 gr;CUCA;57.8;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2023-03-26
269324;2.99;DIA SUPER PACO papel de aluminio 30 m.;DIA SUPER PACO;0.1;€/m.;['Cuidado del hogar', 'Conservación de alimentos'];;2023-03-26
273306;2.89;DIA L-CASEI yogur líquido fresa doble 0% pack 12 unidades 100 gr;DIA L;2.41;€/Kg.;['Despensa', 'Lácteos y huevos', 'Yogures'];;2023-03-26
