date;product;product_id;brand;price;categories;unit_price;units;discount
2022-11-21;MIDEL bastón navidad de caramelo 40 gr;251795;MIDEL;1.25;['Dulces de navidad', 'Surtidos navideños'];31.25;€/Kg.;
2022-11-21;DIAMIR pimientos rojos pack 3 latas de 60 gr;202646;DIAMIR;1.75;['Despensa', 'Conservas', 'Conservas vegetales'];9.72;€/Kg.;
2022-11-21;AMBIPUR ambientador eléctrico aroma tatami japonés aparato + recambio 1 ud;211838;AMBIPUR;10.49;['Cuidado del hogar', 'Ambientadores'];10.49;€/ud.;
2022-11-21;AZUCARERA azúcar moreno integral en terrones caja 500 gr;189181;AZUCARERA;1.79;['Despensa', 'Desayunos y dulces', 'Azúcar y edulcorantes'];3.58;€/Kg.;
2022-11-21;EL VENTERO queso tierno original en lonchas envase 160 gr;205302;EL VENTERO;3.49;['Frescos', 'Charcutería y quesos', 'Quesos'];21.81;€/Kg.;
2022-11-21;GOURMET Gold mousse para gatos con pescado tarro 85 gr;37161;GOURMET;0.99;['Mascotas', 'Gatos'];11.65;€/Kg.;
2022-11-21;BIMBO pan de molde formato familiar bolsa 700 gr;29778;BIMBO;2.49;['Despensa', 'Pan', 'Pan de molde'];3.56;€/Kg.;
2022-11-21;VILEDA palo rojo universal 1 ud;5796;VILEDA;4.55;['Cuidado del hogar', 'Utensilios de limpieza'];4.55;€/ud.;
2022-11-21;CARMENCITA hojas de laurel bolsa 8 gr;187984;CARMENCITA;1.39;['Despensa', 'Sal y especias'];173.75;€/Kg.;
2022-11-21;NUCHAR bacalao ahumado envase 80 gr;279915;NUCHAR;3.39;['Frescos', 'Pescado y marisco', 'Ahumados y salazones'];42.38;€/Kg.;
2022-11-21;Brócoli pieza 500 gr;20002;;1.39;['Frescos', 'Verduras y hortalizas', 'Brócolis y coliflores'];2.78;€/Kg.;
2022-11-21;BONTE aceite corporal aloe vera bote 500 ml;33665;BONTE;2.25;['Cuidado personal', 'Cuidado corporal', 'Hidratación corporal'];4.5;€/l.;
2022-11-21;DIA VEGECAMPO cóctel de encurtidos MUNDIAL frasco 400 gr;289188;DIA VEGECAMPO;1.49;['Despensa', 'Aperitivos'];3.73;€/Kg.;
2022-11-21;DIA VEGECAMPO escarola bolsa 150 gr;272829;DIA VEGECAMPO;1.15;['Frescos', 'Verduras y hortalizas', 'Verduras y ensaladas preparadas'];7.67;€/Kg.;
2022-11-21;ROYAL preparado para flan contiene caramelo líquido caja 233 gr;6453;ROYAL;2.19;['Despensa', 'Desayunos y dulces', 'Preparación de postres'];9.42;€/Kg.;
2022-11-21;PULEVA leche omega 3 con nueces envase 1 lt;121677;PULEVA;1.89;['Despensa', 'Lácteos y huevos', 'Leche'];1.89;€/l.;
2022-11-21;DIA guisantes con zanahorias pack 3 latas 130 gr;57005;DIA;2.79;['Despensa', 'Conservas', 'Conservas vegetales'];7.15;€/Kg.;
2022-11-21;ELVIVE champú full resist fortificante cabello frágil bote 285 ml;269283;ELVIVE;3.49;['Cuidado personal', 'Baño e higiene personal', 'Champús'];12.25;€/l.;
2022-11-21;DIA bolsa de algodón roja 1 ud;272002;DIA;1.99;['Cuidado del hogar', 'Bazar'];1.99;€/ud.;
2022-11-21;VIÑA ALBALI vino tinto reserva DO Valdepeñas botella 75 cl;46244;VIÑA ALBALI;3.69;['Bodega', 'Vino', 'Tinto'];4.92;€/l.;
